agent_id,product_id,sale_amount,sale_date,core_reference_id
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",150.75,"2025-05-20 09:35:00","REF123505"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",300.00,"2025-05-21 10:45:00","REF123506"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",450.50,"2025-05-22 11:55:00","REF123507"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",120.00,"2025-05-23 12:05:00","REF123508"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",320.00,"2025-05-24 13:15:00","REF123509"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-05-25 14:25:00","REF123510"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",180.00,"2025-05-26 15:35:00","REF123511"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",290.00,"2025-05-27 16:45:00","REF123512"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",430.00,"2025-05-28 17:55:00","REF123513"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-05-29 18:05:00","REF123514"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",390.00,"2025-05-30 19:15:00","REF123515"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",250.00,"2025-05-31 20:25:00","REF123516"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",150.75,"2025-06-01 21:35:00","REF123517"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",300.00,"2025-06-02 22:45:00","REF123518"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",450.50,"2025-06-03 23:55:00","REF123519"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",120.00,"2025-06-04 00:05:00","REF123520"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",320.00,"2025-06-05 01:15:00","REF123521"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-06-06 02:25:00","REF123522"
